limit	mapping
2	[[26.0, 10.25], [27.0, 10.96], [28.0, 11.69], [29.0, 12.44], [30.0, 13.2], [31.0, 13.99], [32.0, 14.79], [33.0, 15.61], [34.0, 16.44], [35.0, 17.28], [36.0, 18.14], [37.0, 19.02], [38.0, 19.94], [39.0, 20.83], [40.0, 21.76], [41.0, 22.71], [42.0, 23.65], [43.0, 24.62], [44.0, 25.58], [45.0, 26.58], [46.0, 27.59], [47.0, 28.6], [48.0, 29.65], [49.0, 30.7], [50.0, 31.75], [51.0, 32.82], [52.0, 33.92], [53.0, 35.03], [54.0, 36.13], [55.0, 37.25], [56.0, 38.38], [57.0, 39.53], [58.0, 40.7], [59.0, 41.87], [60.0, 43.05], [61.0, 44.25], [62.0, 45.44], [63.0, 46.66], [64.0, 47.9], [65.0, 49.13], [66.0, 50.38], [67.0, 51.64], [68.0, 52.9], [69.0, 54.19], [70.0, 55.49], [71.0, 56.8], [72.0, 58.14], [73.0, 59.46], [74.0, 60.8], [75.0, 62.15], [76.0, 63.51], [77.0, 64.88], [78.0, 66.28], [79.0, 67.67], [80.0, 69.07], [81.0, 70.49], [82.0, 71.91], [83.0, 73.34], [84.0, 74.8], [85.0, 76.27], [86.0, 77.75], [87.0, 79.24], [88.0, 80.75], [89.0, 82.25], [90.0, 83.77], [91.0, 85.3], [92.0, 86.87], [93.0, 88.44], [94.0, 90.02], [95.0, 91.63], [96.0, 93.24], [97.0, 94.89], [98.0, 96.55], [99.0, 98.24], [100, 100]]
3	[[36.0, 10.29], [37.0, 10.98], [38.0, 11.69], [39.0, 12.42], [40.0, 13.16], [41.0, 13.95], [42.0, 14.76], [43.0, 15.58], [44.0, 16.43], [45.0, 17.32], [46.0, 18.21], [47.0, 19.11], [48.0, 20.05], [49.0, 21.03], [50.0, 22.03], [51.0, 23.03], [52.0, 24.05], [53.0, 25.11], [54.0, 26.17], [55.0, 27.26], [56.0, 28.37], [57.0, 29.51], [58.0, 30.67], [59.0, 31.85], [60.0, 33.03], [61.0, 34.27], [62.0, 35.53], [63.0, 36.81], [64.0, 38.11], [65.0, 39.39], [66.0, 40.71], [67.0, 42.06], [68.0, 43.43], [69.0, 44.82], [70.0, 46.23], [71.0, 47.65], [72.0, 49.11], [73.0, 50.59], [74.0, 52.07], [75.0, 53.59], [76.0, 55.13], [77.0, 56.71], [78.0, 58.3], [79.0, 59.91], [80.0, 61.52], [81.0, 63.18], [82.0, 64.86], [83.0, 66.59], [84.0, 68.32], [85.0, 70.08], [86.0, 71.86], [87.0, 73.66], [88.0, 75.49], [89.0, 77.35], [90.0, 79.24], [91.0, 81.13], [92.0, 83.05], [93.0, 85.01], [94.0, 87.01], [95.0, 89.03], [96.0, 91.11], [97.0, 93.23], [98.0, 95.41], [99.0, 97.63], [100, 100]]
4	[[43.0, 10.3], [44.0, 11.02], [45.0, 11.78], [46.0, 12.54], [47.0, 13.34], [48.0, 14.16], [49.0, 15.02], [50.0, 15.88], [51.0, 16.79], [52.0, 17.73], [53.0, 18.72], [54.0, 19.71], [55.0, 20.75], [56.0, 21.81], [57.0, 22.89], [58.0, 23.99], [59.0, 25.13], [60.0, 26.29], [61.0, 27.5], [62.0, 28.72], [63.0, 29.97], [64.0, 31.25], [65.0, 32.59], [66.0, 33.94], [67.0, 35.31], [68.0, 36.69], [69.0, 38.1], [70.0, 39.56], [71.0, 41.02], [72.0, 42.54], [73.0, 44.07], [74.0, 45.66], [75.0, 47.29], [76.0, 48.94], [77.0, 50.6], [78.0, 52.32], [79.0, 54.07], [80.0, 55.82], [81.0, 57.64], [82.0, 59.46], [83.0, 61.33], [84.0, 63.22], [85.0, 65.15], [86.0, 67.12], [87.0, 69.16], [88.0, 71.24], [89.0, 73.34], [90.0, 75.49], [91.0, 77.68], [92.0, 79.89], [93.0, 82.15], [94.0, 84.47], [95.0, 86.86], [96.0, 89.3], [97.0, 91.79], [98.0, 94.38], [99.0, 97.08], [100, 100]]
5	[[48.0, 10.3], [49.0, 11.01], [50.0, 11.77], [51.0, 12.57], [52.0, 13.43], [53.0, 14.29], [54.0, 15.18], [55.0, 16.12], [56.0, 17.1], [57.0, 18.08], [58.0, 19.14], [59.0, 20.2], [60.0, 21.33], [61.0, 22.49], [62.0, 23.67], [63.0, 24.87], [64.0, 26.12], [65.0, 27.4], [66.0, 28.72], [67.0, 30.07], [68.0, 31.48], [69.0, 32.89], [70.0, 34.34], [71.0, 35.84], [72.0, 37.37], [73.0, 38.98], [74.0, 40.6], [75.0, 42.25], [76.0, 43.95], [77.0, 45.7], [78.0, 47.49], [79.0, 49.3], [80.0, 51.15], [81.0, 53.04], [82.0, 55.0], [83.0, 57.0], [84.0, 59.03], [85.0, 61.11], [86.0, 63.26], [87.0, 65.45], [88.0, 67.67], [89.0, 69.97], [90.0, 72.3], [91.0, 74.69], [92.0, 77.12], [93.0, 79.68], [94.0, 82.27], [95.0, 84.95], [96.0, 87.73], [97.0, 90.57], [98.0, 93.52], [99.0, 96.6], [100, 100]]
6	[[52.0, 10.4], [53.0, 11.17], [54.0, 12.0], [55.0, 12.86], [56.0, 13.74], [57.0, 14.69], [58.0, 15.66], [59.0, 16.65], [60.0, 17.7], [61.0, 18.78], [62.0, 19.89], [63.0, 21.05], [64.0, 22.24], [65.0, 23.5], [66.0, 24.78], [67.0, 26.09], [68.0, 27.46], [69.0, 28.85], [70.0, 30.3], [71.0, 31.78], [72.0, 33.33], [73.0, 34.9], [74.0, 36.55], [75.0, 38.23], [76.0, 39.92], [77.0, 41.7], [78.0, 43.54], [79.0, 45.41], [80.0, 47.37], [81.0, 49.33], [82.0, 51.36], [83.0, 53.44], [84.0, 55.6], [85.0, 57.8], [86.0, 60.05], [87.0, 62.37], [88.0, 64.74], [89.0, 67.16], [90.0, 69.69], [91.0, 72.28], [92.0, 74.92], [93.0, 77.64], [94.0, 80.44], [95.0, 83.33], [96.0, 86.34], [97.0, 89.48], [98.0, 92.74], [99.0, 96.21], [100, 100]]
7	[[55.0, 10.33], [56.0, 11.14], [57.0, 11.98], [58.0, 12.85], [59.0, 13.76], [60.0, 14.72], [61.0, 15.75], [62.0, 16.79], [63.0, 17.9], [64.0, 19.04], [65.0, 20.22], [66.0, 21.45], [67.0, 22.75], [68.0, 24.07], [69.0, 25.45], [70.0, 26.86], [71.0, 28.33], [72.0, 29.86], [73.0, 31.46], [74.0, 33.1], [75.0, 34.77], [76.0, 36.51], [77.0, 38.31], [78.0, 40.15], [79.0, 42.07], [80.0, 44.01], [81.0, 46.01], [82.0, 48.11], [83.0, 50.25], [84.0, 52.45], [85.0, 54.71], [86.0, 57.04], [87.0, 59.46], [88.0, 61.97], [89.0, 64.55], [90.0, 67.19], [91.0, 69.95], [92.0, 72.77], [93.0, 75.68], [94.0, 78.67], [95.0, 81.79], [96.0, 85.06], [97.0, 88.45], [98.0, 92.01], [99.0, 95.81], [100, 100]]
8	[[58.0, 10.71], [59.0, 11.53], [60.0, 12.41], [61.0, 13.36], [62.0, 14.34], [63.0, 15.37], [64.0, 16.45], [65.0, 17.57], [66.0, 18.76], [67.0, 19.98], [68.0, 21.26], [69.0, 22.62], [70.0, 24.03], [71.0, 25.48], [72.0, 27.0], [73.0, 28.55], [74.0, 30.17], [75.0, 31.85], [76.0, 33.58], [77.0, 35.38], [78.0, 37.24], [79.0, 39.18], [80.0, 41.18], [81.0, 43.25], [82.0, 45.4], [83.0, 47.61], [84.0, 49.87], [85.0, 52.2], [86.0, 54.64], [87.0, 57.14], [88.0, 59.74], [89.0, 62.37], [90.0, 65.12], [91.0, 67.96], [92.0, 70.94], [93.0, 74.0], [94.0, 77.19], [95.0, 80.5], [96.0, 83.91], [97.0, 87.53], [98.0, 91.34], [99.0, 95.4], [100, 100]]
9	[[60.0, 10.54], [61.0, 11.42], [62.0, 12.33], [63.0, 13.32], [64.0, 14.34], [65.0, 15.42], [66.0, 16.57], [67.0, 17.73], [68.0, 18.98], [69.0, 20.27], [70.0, 21.62], [71.0, 23.03], [72.0, 24.53], [73.0, 26.07], [74.0, 27.65], [75.0, 29.33], [76.0, 31.08], [77.0, 32.89], [78.0, 34.74], [79.0, 36.66], [80.0, 38.66], [81.0, 40.73], [82.0, 42.88], [83.0, 45.12], [84.0, 47.43], [85.0, 49.84], [86.0, 52.33], [87.0, 54.89], [88.0, 57.56], [89.0, 60.29], [90.0, 63.18], [91.0, 66.15], [92.0, 69.25], [93.0, 72.46], [94.0, 75.75], [95.0, 79.25], [96.0, 82.92], [97.0, 86.75], [98.0, 90.77], [99.0, 95.1], [100, 100]]
10	[[62.0, 10.75], [63.0, 11.65], [64.0, 12.6], [65.0, 13.64], [66.0, 14.69], [67.0, 15.83], [68.0, 17.03], [69.0, 18.3], [70.0, 19.61], [71.0, 20.98], [72.0, 22.44], [73.0, 23.93], [74.0, 25.48], [75.0, 27.11], [76.0, 28.84], [77.0, 30.61], [78.0, 32.48], [79.0, 34.42], [80.0, 36.43], [81.0, 38.49], [82.0, 40.63], [83.0, 42.88], [84.0, 45.25], [85.0, 47.68], [86.0, 50.2], [87.0, 52.85], [88.0, 55.62], [89.0, 58.42], [90.0, 61.38], [91.0, 64.44], [92.0, 67.63], [93.0, 70.97], [94.0, 74.44], [95.0, 78.07], [96.0, 81.87], [97.0, 85.93], [98.0, 90.19], [99.0, 94.77], [100, 100]]
11	[[63.0, 10.06], [64.0, 10.95], [65.0, 11.93], [66.0, 12.96], [67.0, 14.03], [68.0, 15.19], [69.0, 16.39], [70.0, 17.68], [71.0, 18.99], [72.0, 20.4], [73.0, 21.83], [74.0, 23.41], [75.0, 25.06], [76.0, 26.74], [77.0, 28.51], [78.0, 30.37], [79.0, 32.29], [80.0, 34.3], [81.0, 36.39], [82.0, 38.6], [83.0, 40.9], [84.0, 43.23], [85.0, 45.71], [86.0, 48.31], [87.0, 50.99], [88.0, 53.78], [89.0, 56.65], [90.0, 59.68], [91.0, 62.83], [92.0, 66.17], [93.0, 69.62], [94.0, 73.22], [95.0, 77.0], [96.0, 80.95], [97.0, 85.16], [98.0, 89.66], [99.0, 94.45], [100, 100]]
12	[[65.0, 10.62], [66.0, 11.55], [67.0, 12.57], [68.0, 13.68], [69.0, 14.85], [70.0, 16.06], [71.0, 17.35], [72.0, 18.71], [73.0, 20.15], [74.0, 21.66], [75.0, 23.28], [76.0, 24.95], [77.0, 26.68], [78.0, 28.51], [79.0, 30.43], [80.0, 32.46], [81.0, 34.57], [82.0, 36.79], [83.0, 39.07], [84.0, 41.44], [85.0, 43.96], [86.0, 46.53], [87.0, 49.3], [88.0, 52.16], [89.0, 55.12], [90.0, 58.19], [91.0, 61.47], [92.0, 64.84], [93.0, 68.37], [94.0, 72.09], [95.0, 76.0], [96.0, 80.08], [97.0, 84.45], [98.0, 89.09], [99.0, 94.12], [100, 100]]
13	[[66.0, 10.36], [67.0, 11.32], [68.0, 12.39], [69.0, 13.48], [70.0, 14.69], [71.0, 15.92], [72.0, 17.28], [73.0, 18.67], [74.0, 20.15], [75.0, 21.72], [76.0, 23.38], [77.0, 25.11], [78.0, 26.92], [79.0, 28.81], [80.0, 30.85], [81.0, 32.94], [82.0, 35.13], [83.0, 37.41], [84.0, 39.8], [85.0, 42.3], [86.0, 44.95], [87.0, 47.7], [88.0, 50.63], [89.0, 53.63], [90.0, 56.79], [91.0, 60.09], [92.0, 63.54], [93.0, 67.16], [94.0, 70.99], [95.0, 75.01], [96.0, 79.25], [97.0, 83.77], [98.0, 88.59], [99.0, 93.9], [100, 100]]
14	[[67.0, 10.24], [68.0, 11.2], [69.0, 12.26], [70.0, 13.42], [71.0, 14.63], [72.0, 15.91], [73.0, 17.28], [74.0, 18.73], [75.0, 20.26], [76.0, 21.89], [77.0, 23.57], [78.0, 25.39], [79.0, 27.29], [80.0, 29.31], [81.0, 31.4], [82.0, 33.58], [83.0, 35.86], [84.0, 38.27], [85.0, 40.82], [86.0, 43.51], [87.0, 46.27], [88.0, 49.23], [89.0, 52.29], [90.0, 55.45], [91.0, 58.81], [92.0, 62.34], [93.0, 66.04], [94.0, 70.02], [95.0, 74.18], [96.0, 78.55], [97.0, 83.19], [98.0, 88.18], [99.0, 93.62], [100, 100]]
15	[[68.0, 10.16], [69.0, 11.18], [70.0, 12.27], [71.0, 13.45], [72.0, 14.71], [73.0, 16.02], [74.0, 17.43], [75.0, 18.93], [76.0, 20.53], [77.0, 22.19], [78.0, 23.95], [79.0, 25.81], [80.0, 27.78], [81.0, 29.86], [82.0, 32.03], [83.0, 34.38], [84.0, 36.86], [85.0, 39.4], [86.0, 42.09], [87.0, 44.91], [88.0, 47.87], [89.0, 50.97], [90.0, 54.24], [91.0, 57.66], [92.0, 61.26], [93.0, 65.02], [94.0, 69.02], [95.0, 73.23], [96.0, 77.72], [97.0, 82.56], [98.0, 87.67], [99.0, 93.36], [100, 100]]
20	[[72.0, 10.16], [73.0, 11.3], [74.0, 12.54], [75.0, 13.86], [76.0, 15.3], [77.0, 16.85], [78.0, 18.47], [79.0, 20.25], [80.0, 22.14], [81.0, 24.15], [82.0, 26.27], [83.0, 28.53], [84.0, 30.93], [85.0, 33.5], [86.0, 36.19], [87.0, 39.09], [88.0, 42.11], [89.0, 45.36], [90.0, 48.82], [91.0, 52.48], [92.0, 56.4], [93.0, 60.5], [94.0, 64.84], [95.0, 69.5], [96.0, 74.5], [97.0, 79.91], [98.0, 85.76], [99.0, 92.22], [100, 100]]
21	[[73.0, 10.61], [74.0, 11.78], [75.0, 13.07], [76.0, 14.46], [77.0, 15.95], [78.0, 17.56], [79.0, 19.29], [80.0, 21.14], [81.0, 23.12], [82.0, 25.21], [83.0, 27.49], [84.0, 29.9], [85.0, 32.45], [86.0, 35.17], [87.0, 38.08], [88.0, 41.17], [89.0, 44.47], [90.0, 47.91], [91.0, 51.61], [92.0, 55.51], [93.0, 59.68], [94.0, 64.14], [95.0, 68.9], [96.0, 73.93], [97.0, 79.4], [98.0, 85.42], [99.0, 92.05], [100, 100]]
25	[[75.0, 10.38], [76.0, 11.68], [77.0, 13.05], [78.0, 14.56], [79.0, 16.2], [80.0, 17.96], [81.0, 19.85], [82.0, 21.9], [83.0, 24.1], [84.0, 26.47], [85.0, 28.99], [86.0, 31.72], [87.0, 34.61], [88.0, 37.71], [89.0, 41.06], [90.0, 44.59], [91.0, 48.37], [92.0, 52.41], [93.0, 56.78], [94.0, 61.41], [95.0, 66.36], [96.0, 71.75], [97.0, 77.61], [98.0, 84.03], [99.0, 91.22], [100, 100]]
30	[[77.0, 10.34], [78.0, 11.69], [79.0, 13.2], [80.0, 14.87], [81.0, 16.64], [82.0, 18.59], [83.0, 20.72], [84.0, 22.99], [85.0, 25.44], [86.0, 28.12], [87.0, 31.01], [88.0, 34.13], [89.0, 37.44], [90.0, 41.07], [91.0, 44.95], [92.0, 49.12], [93.0, 53.62], [94.0, 58.48], [95.0, 63.72], [96.0, 69.42], [97.0, 75.66], [98.0, 82.56], [99.0, 90.33], [100, 100]]
40	[[80.0, 10.43], [81.0, 11.98], [82.0, 13.67], [83.0, 15.59], [84.0, 17.69], [85.0, 20.04], [86.0, 22.58], [87.0, 25.35], [88.0, 28.47], [89.0, 31.86], [90.0, 35.51], [91.0, 39.47], [92.0, 43.83], [93.0, 48.55], [94.0, 53.7], [95.0, 59.37], [96.0, 65.53], [97.0, 72.42], [98.0, 80.1], [99.0, 88.9], [100, 100]]
50	[[82.0, 10.33], [83.0, 12.06], [84.0, 13.94], [85.0, 16.11], [86.0, 18.5], [87.0, 21.15], [88.0, 24.13], [89.0, 27.41], [90.0, 31.06], [91.0, 35.03], [92.0, 39.46], [93.0, 44.3], [94.0, 49.63], [95.0, 55.59], [96.0, 62.22], [97.0, 69.56], [98.0, 77.94], [99.0, 87.58], [100, 100]]
