project_id,subjects_count,retired_subjects_count,classifications_count,latest activity,14 day avg. activity,Ret. completeness,state,display_name
3095,15,0,91571,0,,0,development,"Amazon Aerobotany"
22,0,0,0,0,,0,finished,"Moon Zoo"
26,0,0,0,0,,0,finished,"Planet Hunters"
32,0,0,0,0,,0,finished,"Whale FM"
38,0,0,0,0,,0,finished,"Cell Slider"
39,28,28,132,0,,100,finished,"Andromeda Project"
45,0,0,0,0,,0,finished,"Worm Watch Lab"
46,0,0,0,0,,0,finished,"Plankton Portal"
51,0,0,0,0,,0,finished,"Sunspotter"
53,0,0,0,0,,0,finished,"Asteroid Zoo"
54,0,0,0,0,,0,finished,"Floating Forests v1"
59,0,0,0,0,,0,finished,"Orchid Observers"
932,19000,0,0,0,,0,finished,"Measuring the ANZACs (Original)"
988,10000,9926,108838,0,,99,finished,"Computer Vision: Serengeti"
1736,9826,9826,228082,0,,100,finished,"TreeVersity"
2464,17732,17108,73015,0,,96,finished,"Zen of Dragons"
2954,10371,4759,71947,10,,50,finished,"Count flowers for bees"
3658,179319,65281,1542669,16,,17,finished,"The Plastic Tide"
3775,15047,15047,74805,0,,100,finished,"Elephant Expedition"
5187,26242,26242,278632,0,,100,finished,"Planetary Response Network & Rescue Global: Caribbean Storms 2017"
5372,1,0,84386,0,,0,finished,"Where are my body organs? "
5536,0,0,367394,0,,0,finished,"Weather Rescue DWR"
17,14440,0,15840,264,985,0,live,"Planet Four: Terrains"
245,29098,20658,238312,105,110,71,live,"AnnoTate"
478,54116,44266,487575,37,38,82,live,"Seabirdwatch"
575,36211,19520,494072,546,391,54,live,"Western Shield — Camera Watch"
592,10346,1954,67860,5,61,21,live,"The Community Seagrass Initiative - Seagrass Explorer"
593,48137,5855,45918,1280,4719,12,live,"WildCam Gorongosa"
1104,1068013,157992,1618763,804,1690,20,live,"Gravity Spy"
1312,2528,104,35701,17,169,33,live,"Fossil Atmospheres"
1856,30016,1219,22719,7,16,8,live,"Astronomy Rewind"
2416,257280,15636,729017,2853,1856,6,live,"Backyard Worlds: Planet 9"
2439,134863,9605,167172,2047,4161,7,live,"Snapshot Wisconsin"
2471,286,0,798,167,262,0,live,"Radio Meteor Zoo"
